,user_id,monthly_income,monthly_outcome,class,institution,account_type,credit_type,total_credit_payments,payment_frequency,amount_to_pay_next_payment,account_opening_date,maximum_credit_amount,current_balance,credit_limit,worst_delinquency_date,worst_delinquency_estimated,worst_delinquency_past_due_estimated,payments_per_year,loan_term,loan_amount,_has_account_closing_date
287,22,31440,47243,1,FINANCIERA,Pagos Fijos,Línea de Crédito,12.0,Mensual,0.0,4/12/16,12943.0,0.0,12943.0,No,0.0,0.0,12,1.0,12943.0,1
288,22,31440,47243,1,FINANCIERA,Pagos Fijos,Línea de Crédito,48.0,Mensual,0.0,3/21/13,175920.0,0.0,175920.0,No,0.0,0.0,12,4.0,175920.0,1
289,22,31440,47243,1,FINANCIERA,Pagos Fijos,Línea de Crédito,12.0,Mensual,0.0,4/15/15,12943.0,0.0,12943.0,No,0.0,0.0,12,1.0,12943.0,1
292,22,31440,47243,1,FINANCIERA,Pagos Fijos,Línea de Crédito,12.0,Mensual,0.0,4/15/14,12943.0,0.0,0.0,No,0.0,0.0,12,1.0,12943.0,1
347,25,2772,70652,1,CAJAS DE AHORRO,Pagos Fijos,Compra de Automóvil,60.0,Mensual,4878.0,9/29/17,210000.0,200792.0,210000.0,No,0.0,0.0,12,5.0,292680.0,0
348,26,5629,38947,1,COMPANIA DE FINANCIAMIENTO AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,48.0,Mensual,13223.0,4/30/17,448307.0,441894.0,0.0,No,0.0,0.0,12,4.0,634704.0,0
416,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,24.0,Quincenal,2941.0,8/26/16,50000.0,37560.0,0.0,No,0.0,0.0,24,1.0,70584.0,0
417,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,6.0,Quincenal,0.0,11/25/14,10000.0,0.0,0.0,No,0.0,0.0,24,0.25,10000.0,1
418,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,6.0,Quincenal,0.0,2/17/15,12000.0,0.0,0.0,No,0.0,0.0,24,0.25,12000.0,1
419,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,13.0,Quincenal,0.0,5/7/15,15000.0,0.0,0.0,No,0.0,0.0,24,0.5416666666666666,15000.0,1
420,32,174710,266500,1,ADMINISTRADORAS DE CARTERA,Pagos Fijos,Tarjeta de Crédito,1.0,Mensual,0.0,10/31/12,6714.0,0.0,6714.0,5/31/15,13.0,6714.0,12,0.08333333333333333,516.4615384615385,1
421,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,13.0,Quincenal,0.0,11/3/15,20000.0,0.0,0.0,No,0.0,0.0,24,0.5416666666666666,20000.0,1
422,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,18.0,Quincenal,0.0,2/3/16,30000.0,0.0,0.0,No,0.0,0.0,24,0.75,30000.0,1
423,32,174710,266500,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,39.0,Semanal,0.0,3/15/04,9000.0,0.0,0.0,No,0.0,0.0,52,0.75,9000.0,1
424,32,174710,266500,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,53.0,Semanal,0.0,5/17/04,4344.0,0.0,0.0,5/16/05,3.0,254.0,52,1.0192307692307692,4487.333333333334,1
437,32,174710,266500,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,24.0,Mensual,5060.0,7/24/15,97592.0,34064.0,97592.0,No,0.0,0.0,12,2.0,121440.0,0
438,32,174710,266500,1,BANCO,Pagos Fijos,Compra de Automóvil,24.0,Mensual,4022.0,1/9/15,83914.0,7970.0,0.0,No,0.0,0.0,12,2.0,96528.0,0
440,32,174710,266500,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,24.0,Mensual,4022.0,1/9/15,96248.0,76396.0,0.0,No,0.0,0.0,12,2.0,96528.0,0
441,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,24.0,Quincenal,2857.0,8/26/16,50000.0,15839.0,0.0,10/31/16,1.0,3067.0,24,1.0,73608.0,0
442,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,6.0,Quincenal,0.0,11/25/14,10000.0,0.0,0.0,No,0.0,0.0,24,0.25,10000.0,1
443,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,6.0,Quincenal,0.0,2/17/15,12000.0,0.0,0.0,No,0.0,0.0,24,0.25,12000.0,1
444,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,13.0,Quincenal,0.0,5/7/15,15000.0,0.0,0.0,No,0.0,0.0,24,0.5416666666666666,15000.0,1
445,32,174710,266500,1,ADMINISTRADORAS DE CARTERA,Pagos Fijos,Tarjeta de Crédito,1.0,Mensual,0.0,10/31/12,6714.0,0.0,6714.0,5/31/15,13.0,6714.0,12,0.08333333333333333,516.4615384615385,1
446,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,13.0,Quincenal,0.0,11/3/15,20000.0,0.0,0.0,No,0.0,0.0,24,0.5416666666666666,20000.0,1
447,32,174710,266500,1,KONFIO,Pagos Fijos,Préstamo Personal ,18.0,Quincenal,0.0,2/3/16,30000.0,0.0,0.0,No,0.0,0.0,24,0.75,30000.0,1
448,32,174710,266500,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,39.0,Semanal,0.0,3/15/04,9000.0,0.0,0.0,No,0.0,0.0,52,0.75,9000.0,1
449,32,174710,266500,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,53.0,Semanal,0.0,5/17/04,4344.0,0.0,0.0,5/16/05,3.0,254.0,52,1.0192307692307692,4487.333333333334,1
463,32,174710,266500,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,24.0,Mensual,5060.0,7/24/15,97592.0,9953.0,97592.0,No,0.0,0.0,12,2.0,121440.0,0
464,32,174710,266500,1,BANCO,Pagos Fijos,Compra de Automóvil,24.0,Mensual,4022.0,1/9/15,83914.0,7970.0,0.0,No,0.0,0.0,12,2.0,96528.0,0
466,32,174710,266500,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,24.0,Mensual,0.0,1/9/15,96248.0,0.0,0.0,No,0.0,0.0,12,2.0,96248.0,1
467,33,39878,81792,1,TIENDA DE ROPA,Pagos Fijos,Crédito al Consumo,128.0,Semanal,2574.0,1/13/17,164778.0,119733.0,0.0,8/4/17,12.0,4018.0,52,2.4615384615384617,42858.666666666664,0
469,33,39878,81792,1,AUTOMOTRIZ,Pagos Fijos,Arrendamiento Automotriz,36.0,Mensual,5751.0,11/16/16,201276.0,155270.0,201276.0,No,0.0,0.0,12,3.0,207036.0,0
487,35,1553,5590,1,GOBIERNO,Pagos Fijos,Crédito Fiscal,1.0,Mensual,0.0,7/31/14,0.0,0.0,0.0,12/31/14,5.0,1100.0,12,0.08333333333333333,220.0,1
488,35,1553,5590,1,GOBIERNO,Pagos Fijos,Crédito Fiscal,1.0,Mensual,0.0,7/31/14,0.0,0.0,0.0,12/31/14,5.0,1100.0,12,0.08333333333333333,220.0,1
500,35,1553,5590,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,12.0,Mensual,0.0,1/16/15,241247.0,0.0,241247.0,No,0.0,0.0,12,1.0,241247.0,1
509,35,1553,5590,1,BANCO,Pagos Fijos,Arrendamiento,36.0,Mensual,0.0,5/11/09,300000.0,0.0,300000.0,No,0.0,0.0,12,3.0,300000.0,1
510,36,23603,25063,1,AUTOMOTRIZ,Pagos Fijos,Arrendamiento Automotriz,60.0,Mensual,0.0,6/7/06,90567.0,0.0,0.0,No,0.0,0.0,12,5.0,90567.0,0
559,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,26.0,Semanal,0.0,11/25/01,7857.0,0.0,0.0,No,0.0,0.0,52,0.5,7857.0,0
560,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,39.0,Semanal,0.0,5/18/02,13506.0,0.0,0.0,10/19/02,6.0,1893.0,52,0.75,12304.5,0
561,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,39.0,Semanal,0.0,11/30/02,3059.0,0.0,0.0,1/4/03,6.0,468.0,52,0.75,3042.0,0
562,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,53.0,Semanal,0.0,3/6/03,3202.0,0.0,0.0,8/28/03,5.0,300.0,52,1.0192307692307692,3180.0,0
563,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,39.0,Semanal,0.0,5/17/04,15750.0,0.0,0.0,6/21/04,3.0,1210.0,52,0.75,15730.0,0
564,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,65.0,Semanal,0.0,4/20/04,6110.0,0.0,0.0,9/28/04,3.0,282.0,52,1.25,6110.0,0
565,41,7143,12,0,SIC,Pagos Fijos,Compra de Automóvil,37.0,Mensual,220798.0,3/26/03,165577.0,220798.0,0.0,3/31/16,22.0,220798.0,12,3.0833333333333335,371342.09090909094,0
573,41,7143,12,0,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Quincenal,0.0,7/3/14,1250.0,0.0,1250.0,No,0.0,0.0,24,0.041666666666666664,1250.0,0
574,41,7143,12,0,SIC,Pagos Fijos,Préstamo Personal ,1.0,Mensual,2374.0,9/15/15,1400.0,2374.0,0.0,3/31/16,6.0,2374.0,12,0.08333333333333333,395.6666666666667,0
575,41,7143,12,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,39.0,Semanal,0.0,8/5/03,15750.0,0.0,0.0,No,0.0,0.0,52,0.75,15750.0,0
588,43,59475,46927,1,BANCO,Pagos Fijos,Préstamo de Nomina,72.0,Quincenal,164.0,11/1/12,80365.0,14068.0,145000.0,No,0.0,0.0,24,3.0,11808.0,0
595,43,59475,46927,1,BANCO,Pagos Fijos,Préstamo Personal ,19.0,Quincenal,0.0,4/2/14,73700.0,0.0,0.0,No,0.0,0.0,24,0.7916666666666666,73700.0,1
599,43,59475,46927,1,BANCO,Pagos Fijos,Compra de Automóvil,36.0,Mensual,0.0,11/5/09,79464.0,0.0,79464.0,No,0.0,0.0,12,3.0,79464.0,1
638,45,40153,65502,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Catorcenal,0.0,5/11/15,6000.0,0.0,6000.0,No,0.0,0.0,26,0.46153846153846156,6000.0,1
639,45,40153,65502,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Catorcenal,0.0,10/15/15,9000.0,0.0,9000.0,No,0.0,0.0,26,0.46153846153846156,9000.0,1
640,45,40153,65502,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,4/14/16,30000.0,0.0,0.0,No,0.0,0.0,12,1.0,30000.0,1
641,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,9/7/12,131.0,0.0,10200.0,No,0.0,0.0,12,1.0,131.0,1
642,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,10/8/12,226.0,0.0,10200.0,No,0.0,0.0,12,1.0,226.0,1
643,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,12/22/13,447.0,0.0,11046.0,No,0.0,0.0,12,1.0,447.0,1
644,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,532.0,1/29/14,532.0,532.0,11964.0,No,0.0,0.0,12,1.0,6384.0,0
645,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,3/30/14,211.0,0.0,11478.0,No,0.0,0.0,12,1.0,211.0,1
646,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,5/5/14,170.0,0.0,11478.0,No,0.0,0.0,12,1.0,170.0,1
647,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,433.0,5/14/14,433.0,433.0,11964.0,No,0.0,0.0,12,1.0,5196.0,0
648,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,615.0,3/9/15,1195.0,1195.0,13146.0,No,0.0,0.0,12,1.0,7380.0,0
649,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,34.0,4/8/15,370.0,370.0,11964.0,No,0.0,0.0,12,1.0,408.0,0
650,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,55.0,5/4/15,541.0,541.0,11964.0,No,0.0,0.0,12,1.0,660.0,0
651,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,20.0,7/4/15,235.0,235.0,11964.0,No,0.0,0.0,12,1.0,240.0,0
652,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,43.0,10/10/15,376.0,376.0,13146.0,No,0.0,0.0,12,1.0,516.0,0
653,45,40153,65502,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,129.0,12/7/15,1539.0,1539.0,12618.0,No,0.0,0.0,12,1.0,1548.0,0
654,45,40153,65502,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Línea de Crédito,12.0,Semanal,0.0,5/19/16,11837.0,0.0,11836.0,No,0.0,0.0,52,0.23076923076923078,11837.0,1
655,45,40153,65502,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Línea de Crédito,12.0,Semanal,0.0,12/22/16,9998.0,0.0,9997.0,No,0.0,0.0,52,0.23076923076923078,9998.0,1
656,45,40153,65502,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Línea de Crédito,12.0,Semanal,0.0,3/23/17,9917.0,0.0,9916.0,No,0.0,0.0,52,0.23076923076923078,9917.0,1
657,45,40153,65502,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Línea de Crédito,12.0,Semanal,16522.0,5/31/17,28065.0,16522.0,28065.0,No,0.0,0.0,52,0.23076923076923078,198264.0,0
663,45,40153,65502,1,BANCO,Pagos Fijos,Línea de Crédito,36.0,Mensual,1388.0,9/30/16,30000.0,26987.0,0.0,No,0.0,0.0,12,3.0,49968.0,0
1029,54,20808,14300,1,COMPANIA DE PRESTAMO PERSONAL,Pagos Fijos,Préstamo Personal ,9.0,Mensual,738.0,4/18/16,6642.0,5166.0,0.0,No,0.0,0.0,12,0.75,6642.0,0
1031,54,20808,14300,1,BANCOS,Sin Límite Preestablecido,Línea de Crédito,2.0,Quincenal,0.0,7/15/10,500.0,0.0,0.0,No,0.0,0.0,24,0.08333333333333333,500.0,0
1032,54,20808,14300,1,BANCOS,Sin Límite Preestablecido,Línea de Crédito,2.0,Quincenal,0.0,8/2/10,900.0,0.0,0.0,No,0.0,0.0,24,0.08333333333333333,900.0,0
1033,54,20808,14300,1,BANCOS,Sin Límite Preestablecido,Línea de Crédito,2.0,Quincenal,0.0,8/13/10,600.0,0.0,0.0,No,0.0,0.0,24,0.08333333333333333,600.0,0
1034,54,20808,14300,1,BANCOS,Sin Límite Preestablecido,Línea de Crédito,2.0,Quincenal,0.0,8/31/10,700.0,0.0,0.0,No,0.0,0.0,24,0.08333333333333333,700.0,0
1036,54,20808,14300,1,BANCOS,Sin Límite Preestablecido,Línea de Crédito,2.0,Quincenal,0.0,10/1/10,800.0,0.0,0.0,10/31/10,1.0,400.0,24,0.08333333333333333,800.0,0
1117,57,16583,72029,1,BANCO,Pagos Fijos,Préstamo Personal ,36.0,Mensual,4133.0,8/24/16,147600.0,141170.0,147600.0,No,0.0,0.0,12,3.0,148788.0,0
1120,57,16583,72029,1,BANCO,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,8/18/15,8000.0,0.0,8000.0,No,0.0,0.0,12,1.0,8000.0,1
1132,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,9/29/14,6000.0,0.0,6000.0,No,0.0,0.0,52,0.3076923076923077,6000.0,1
1133,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,1/22/15,11080.0,0.0,11080.0,No,0.0,0.0,52,0.3076923076923077,11080.0,1
1134,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,5/14/15,16064.0,0.0,16064.0,No,0.0,0.0,52,0.3076923076923077,16064.0,1
1135,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,8/20/15,10000.0,0.0,10000.0,No,0.0,0.0,12,1.0,10000.0,1
1136,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,9/8/15,20077.0,0.0,20077.0,9/16/15,1.0,1469.0,52,0.3076923076923077,23504.0,1
1137,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,12/22/15,15000.0,0.0,0.0,No,0.0,0.0,12,1.0,15000.0,1
1138,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,12/29/15,25065.0,0.0,25065.0,No,0.0,0.0,52,0.3076923076923077,25065.0,1
1139,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,4/19/16,30067.0,0.0,30067.0,No,0.0,0.0,52,0.3076923076923077,30067.0,1
1140,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,8/11/16,33074.0,0.0,0.0,No,0.0,0.0,52,0.3076923076923077,33074.0,1
1141,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,12/1/16,50062.0,0.0,0.0,No,0.0,0.0,52,0.3076923076923077,50062.0,1
1142,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,2644.0,12/15/16,20001.0,10744.0,0.0,No,0.0,0.0,12,1.0,31728.0,0
1143,59,1276,23305,1,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,3/28/17,30150.0,0.0,0.0,No,0.0,0.0,52,0.3076923076923077,30150.0,1
1145,59,1276,23305,1,GUBERNAMENTALES,Pagos Fijos,Crédito Fiscal,1.0,Mensual,0.0,10/29/07,11000.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,11000.0,1
1146,60,2783,3203,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,60.0,Mensual,3688.0,7/22/16,173343.0,145004.0,173343.0,No,0.0,0.0,12,5.0,221280.0,0
1147,60,2783,3203,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,48.0,Quincenal,1180.0,1/20/16,25655.0,13341.0,0.0,No,0.0,0.0,24,2.0,56640.0,0
1164,62,14013,42973,1,SOFOL PRESTAMO PERSONAL,Pagos Fijos,Línea de Crédito,48.0,Mensual,0.0,3/27/07,130790.0,0.0,0.0,No,0.0,0.0,12,4.0,130790.0,1
1168,62,14013,42973,1,BANCO,Pagos Fijos,Línea de Crédito,36.0,Mensual,1078.0,8/1/14,25000.0,3090.0,0.0,No,0.0,0.0,12,3.0,38808.0,0
1170,62,14013,42973,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,48.0,Mensual,3673.0,1/1/17,126664.0,115162.0,126664.0,No,0.0,0.0,12,4.0,176304.0,0
1171,62,14013,42973,1,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,1.0,Mensual,0.0,10/31/06,3144.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,3144.0,0
1174,63,750,37,0,MICROFINANCIERA,Pagos Fijos,Préstamo Personal ,12.0,Semanal,0.0,3/21/17,2000.0,0.0,0.0,No,0.0,0.0,52,0.23076923076923078,2000.0,1
1175,63,750,37,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,6261.0,12/16/10,6261.0,6261.0,13146.0,12/31/16,13.0,6261.0,12,1.0,5779.384615384615,0
1176,63,750,37,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,5200.0,12/21/10,5200.0,5200.0,13146.0,12/31/16,13.0,5200.0,12,1.0,4800.0,0
1177,63,750,37,0,COOPERATIVA DE AHORRO Y CREDITO,Pagos Fijos,Préstamo Personal ,60.0,Mensual,2887.0,8/4/09,173190.0,172465.0,173190.0,5/31/14,13.0,172465.0,12,5.0,795992.3076923076,1
1180,63,750,37,0,BANCO,Pagos Fijos,Mejoras a la Casa,1.0,Mensual,1380.0,12/1/16,14877.0,8318.0,14877.0,No,0.0,0.0,12,0.08333333333333333,1380.0,0
1182,63,750,37,0,BANCO,Hipoteca,Mejoras a la Casa,1.0,Mensual,0.0,2/18/14,11041.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,11041.0,1
1183,63,750,37,0,BANCO,Pagos Fijos,Mejoras a la Casa,18.0,Mensual,0.0,3/23/12,9142.0,0.0,0.0,No,0.0,0.0,12,1.5,9142.0,1
1184,63,750,37,0,BANCO,Pagos Fijos,Préstamo Personal ,72.0,Quincenal,0.0,4/28/09,7000.0,0.0,7000.0,No,0.0,0.0,24,3.0,7000.0,1
1230,67,6302,17323,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,60.0,Mensual,0.0,7/30/13,8746.0,0.0,148862.0,No,0.0,0.0,12,5.0,8746.0,1
1338,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,2/21/17,1406.0,0.0,0.0,3/21/17,1.0,19.0,12,0.08333333333333333,19.0,1
1339,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,11/30/16,1090.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1090.0,1
1341,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,4.0,Quincenal,0.0,10/19/16,3900.0,0.0,3900.0,11/30/16,3.0,1348.0,24,0.16666666666666666,1797.3333333333333,1
1342,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,4.0,Quincenal,1175.0,3/15/17,3500.0,2425.0,3500.0,4/30/17,2.0,1250.0,24,0.16666666666666666,2500.0,0
1343,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Quincenal,0.0,11/23/15,1000.0,0.0,1000.0,12/15/15,1.0,1250.0,24,0.041666666666666664,1250.0,1
1344,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,4.0,Quincenal,0.0,8/1/16,3500.0,0.0,3500.0,9/30/16,2.0,1250.0,24,0.16666666666666666,2500.0,1
1345,73,333,1576,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,4/28/17,1500.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1500.0,1
1346,73,333,1576,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,12.0,Mensual,1180.0,4/24/17,14160.0,8918.0,0.0,No,0.0,0.0,12,1.0,14160.0,0
1350,73,333,1576,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,4/28/17,1500.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1500.0,1
